rok;miesiac;pow;dzielnica;lpokoi;pietro;rokBudowy;Cena;CenaM2;stan
2008;1;20;Srodmiescie;1;7;1970;210000;10500;do remontu
2008;1;25;Pruszkow;1;1;1965;175000;7000;do remontu
2008;1;26;Bielany;1;6;1964;218000;8384;do remontu
2008;1;27;Wola;1;1;1962;230000;8518;dobry
2008;1;28;Mokotow;1;1;1950;245000;8750;do remontu
2008;1;28;Mokotow;2;4;1968;245000;8750;dobry
2008;1;30;Srodmiescie;1;1;1952;320000;10666;dobry
2008;1;32;Mokotow;2;3;2007;392000;12250;do wykonczenia
2008;1;32;Srodmiescie;1;7;1961;290000;9062;bardzo dobry
2008;1;34;Jozefoslaw;1;2;2003;325000;9558;bardzo dobry
2008;1;35;Bemowo;2;3;1978;260000;7428;dobry
2008;1;36;Wola;2;6;1965;250000;6944;dobry
2008;1;36;Wola;2;5;1968;360000;10000;dobry
2008;1;36;Praga Poludnie;2;5;1965;300000;8333;dobry
2008;1;37;Bialoleka;1;7;2005;250000;6756;dobry
2008;1;37;Mokotow;2;7;1972;300000;8108;dobry
2008;1;37;Zoliborz;2;1;1969;265000;7162;dobry
2008;1;37;Zoliborz;2;8;1972;279000;7540;dobry
2008;1;38;Praga Poludnie;2;1;1971;250000;6578;dobry
2008;1;40;Mokotow;2;1;1925;478000;11950;bardzo dobry
2008;1;40;Bielany;2;3;1970;320000;8000;dobry
2009;3;55;Mokotow;3;3;1974;395000;7181;do remontu
2008;1;41;Mokotow;2;3;1961;310000;7560;dobry
2008;1;42;Mokotow;2;1;1970;320000;7619;dobry
2008;1;44;Srodmiescie;2;3;1966;440000;10000;bardzo dobry
2008;1;44;Srodmiescie;2;3;1966;485200;10903;bardzo dobry
2008;1;47;Ursynow;2;5;1978;360000;7659;dobry
2008;1;48;Wola;2;1;2007;399000;8312;do wykonczenia
2008;1;50;Wola;2;3;1952;466000;9227;bardzo dobry
2008;1;53;Mokotow;2;10;2005;503000;9490;dobry
2008;1;54;Bielany;3;5;1976;392000;7259;dobry
2008;1;56;Zoliborz;3;3;1938;640000;11428;bardzo dobry
2008;1;56;Zoliborz;2;4;1936;620000;11071;bardzo dobry
2008;1;57;Mokotow;3;2;1978;373000;6543;do remontu
2008;1;73;Wawer;3;2;2003;665000;9109;bardzo dobry
2008;1;75;Praga Poludnie;3;3;2001;670000;8933;bardzo dobry
2008;9;46;Mokotow;2;7;1980;380000;8261;dobry
2008;1;82;Mokotow;3;1;2005;1100000;13414;bardzo dobry
2008;1;83;Mokotow;3;2;1997;715000;8614;bardzo dobry
2008;1;85;Wilanow;3;2;2006;700000;8235;bardzo dobry
2008;1;91;Mokotow;3;1;2006;939000;10318;bardzo dobry
2008;1;130;Srodmiescie;4;2;2006;1365000;10500;bardzo dobry
2008;2;20;Srodmiescie;1;7;1970;210000;10500;do remontu
2008;2;23;Srodmiescie;1;3;1964;240000;10435;dobry
2008;2;26;Bielany;1;6;1964;218000;8385;do remontu
2008;2;27;Srodmiescie;1;2;1964;223000;8259;do remontu
2008;2;27;Wola;1;2;1979;245000;9074;dobry
2008;2;28;Ochota;1;3;1963;208000;7429;do remontu
2008;2;29;Ochota;1;10;1972;210000;7241;dobry
2008;2;29;Praga Poludnie;1;2;1936;120000;4032;do remontu
2007;10;72;Mokotow;4;1;1976;630000;8666;dobry
2008;2;35;Bemowo;2;3;1978;260000;7429;dobry
2008;2;35;Bialoleka;1;4;2001;220000;6286;dobry
2008;2;35;Bemowo;2;1;2005;380000;10734;dobry
2008;2;36;Praga Poludnie;1;4;1965;252000;7000;dobry
2008;2;37;Mokotow;2;7;1972;300000;8108;dobry
2008;2;37;Bialoleka;1;7;2005;250000;6757;dobry
2008;2;37;Zoliborz;2;1;1969;302200;8168;dobry
2008;2;38;Praga Poludnie;2;1;1971;250000;6579;dobry
2008;2;38;Praga Poludnie;2;2;1970;248000;6526;do remontu
2008;2;38;Ochota;1;5;2001;399000;10445;bardzo dobry
2008;2;42;Mokotow;2;1;1970;320000;7619;do remontu
2008;2;46;Mokotow;2;1;2008;465000;10065;bardzo dobry
2008;2;48;Mokotow;2;4;2007;495000;10313;do wykonczenia
2008;2;50;Bemowo;2;3;1982;364500;7290;dobry
2008;2;57;Mokotow;3;2;1976;460000;8042;dobry
2008;2;54;Bielany;3;5;1976;392000;7259;dobry
2008;2;55;Mokotow;2;1;2008;560000;10182;do wykonczenia
2008;2;56;Mokotow;2;2;2007;735000;13125;dobry
2008;2;56;Srodmiescie;2;2;2005;770000;13750;dobry
2008;2;56;Mokotow;2;3;2007;565000;10089;do wykonczenia
2008;2;57;Mokotow;3;2;1978;373000;6544;do remontu
2008;2;57;Ursynow;2;2;2001;550000;9649;bardzo dobry
2008;2;57;Bielany;3;2;1960;390000;6842;do remontu
2008;9;35,4;Mokotow;2;10;1973;360000;10169;bardzo dobry
2007;12;21;Mokotow;1;8;1968;220000;10476;bardzo dobry
2008;2;63;Mokotow;3;3;2007;606000;9619;do wykonczenia
2009;8;44;Mokotow;2;4;1963;360000;8090;dobry
2008;2;73;Mokotow;3;3;2007;690000;9452;do wykonczenia
2008;2;73;Mokotow;3;4;2007;690000;9452;do wykonczenia
2008;2;74;Mokotow;3;2;2007;637000;8608;do wykonczenia
2008;2;81;Jozefoslaw;3;1;2007;635000;7840;do wykonczenia
2008;2;82;Mokotow;2;1;1935;930000;11341;bardzo dobry
2008;2;82;Ochota;3;2;2001;1050000;12712;bardzo dobry
2008;2;83;Mokotow;3;2;1997;715000;8614;bardzo dobry
2009;3;45;Bielany;2;10;1983;285000;6333;dobry
2008;2;111;Wola;4;6;2002;1780000;16007;bardzo dobry
2008;2;125;Wilanow;3;4;1997;999000;7992;bardzo dobry
2007;6;102;Zoliborz;3;1;2000;910000;8908;dobry
2008;3;24;Wola;1;4;1973;199000;8122;dobry
2008;3;26;Srodmiescie;1;7;1968;280000;10769;dobry
2008;3;28;Mokotow;1;2;1976;260000;9285;dobry
2008;3;29;Ochota;1;7;1967;213000;7344;dobry
2008;3;30;Srodmiescie;1;1;1920;389000;12966;bardzo dobry
2008;3;31;Mokotow;1;7;1974;230000;7419;dobry
2008;3;31;Mokotow;1;2;2001;330000;10645;bardzo dobry
2008;3;31;Mokotow;1;1;1975;250000;8064;dobry
2008;3;31;Wilanow;1;10;1976;260000;8387;bardzo dobry
2008;3;31;Mokotow;1;3;1992;265000;8354;dobry
2008;3;33;Praga Poludnie;2;5;2004;330000;10000;bardzo dobry
2008;3;33;Mokotow;1;8;1968;265000;8030;do remontu
2008;3;33;Mokotow;1;8;1980;282000;8545;dobry
2008;3;35;Wola;2;4;1960;250000;7142;do remontu
2008;3;35;Bemowo;2;7;1977;262000;7485;dobry
2008;3;36;Ursus;1;8;2003;300000;8333;bardzo dobry
2008;3;36;Ochota;2;3;1970;280000;7777;dobry
2008;3;37;Srodmiescie;2;5;1960;270000;7297;dobry
2008;3;39;Srodmiescie;2;11;1970;355000;9102;dobry
2008;3;39;Targowek;2;4;1975;277000;7012;dobry
2008;9;61;Bielany;3;10;1988;420000;6863;do remontu
2008;3;42;Zoliborz;2;2;1934;462000;10809;bardzo dobry
2008;3;43;Zoliborz;2;1;1937;350000;8139;dobry
2008;3;43;Mokotow;2;3;1950;380000;8837;do remontu
2008;3;44;Ursus;2;6;2002;317000;7204;dobry
2008;3;45;Bialoleka;2;6;2003;345000;7666;dobry
2008;3;47;Praga Poludnie;3;9;1970;355000;7553;dobry
2008;3;49;Praga Polnoc;2;3;1950;415000;8469;bardzo dobry
2008;3;50;Srodmiescie;2;3;1960;405000;8100;dobry
2008;3;53;Mokotow;3;4;1973;442000;8339;bardzo dobry
2008;3;54;Bialoleka;2;3;2006;425000;7826;bardzo dobry
2008;3;55;Bialoleka;2;3;2005;378000;6774;bardzo dobry
2008;3;56;Mokotow;3;4;1975;425000;7589;bardzo dobry
2008;3;56;Mokotow;2;4;2002;775000;13839;bardzo dobry
2008;3;56;Srodmiescie;2;4;1935;775000;13716;dobry
2008;3;57;Mokotow;2;3;2007;570000;10000;do wykonczenia
2008;3;59;Praga Poludnie;3;8;1984;350000;5872;do remontu
2008;3;60;Brwinow;2;1;1938;300000;5000;do remontu
2008;3;60;Brwinow;2;1;1938;300000;5000;do remontu
2008;3;61;Praga Poludnie;2;2;1938;620000;10163;do remontu
2008;3;61;Bemowo;3;4;1979;397000;6442;dobry
2008;3;62;Wola;3;1;1983;495000;7983;dobry
2008;3;62;Ursynow;3;2;2004;655000;10564;bardzo dobry
2008;3;67;Bielany;2;5;2006;743000;11089;do wykonczenia
2008;3;67;Praga Poludnie;3;5;1995;456000;6715;dobry
2008;3;70;Bielany;3;3;2006;690000;9857;do wykonczenia
2008;3;73;Mokotow;3;4;2007;685000;9383;do wykonczenia
2008;3;74;Zoliborz;3;1;1955;575000;7770;do remontu
2008;3;107;Ursynow;3;3;1999;1155000;10794;bardzo dobry
2008;3;113;Srodmiescie;4;3;2007;1780000;15752;do wykonczenia
2008;3;186;Mokotow;4;10;2000;2150000;11559;bardzo dobry
2008;4;17;Srodmiescie;1;1;1950;198000;11647;dobry
2008;4;19;Mokotow;1;5;1972;196000;10316;dobry
2008;4;20;Srodmiescie;1;6;1970;190000;9500;dobry
2008;4;23;Ochota;1;9;1960;202000;8783;do remontu
2008;4;23;Wola;1;5;1980;195000;8478;dobry
2008;4;24;Zoliborz;3;4;1960;220000;9167;dobry
2008;4;26;Praga Poludnie;1;5;2002;279000;10731;bardzo dobry
2008;4;26,5;Wlochy;1;4;1960;198000;7472;do remontu
2008;4;27;Bialoleka;1;2;2004;200000;7407;dobry
2008;4;30;Srodmiescie;1;3;1960;300000;10000;dobry
2008;4;30;Zoliborz;1;1;1960;255000;8500;bardzo dobry
2008;4;30;Bielany;1;3;1975;220000;7333;dobry
2008;4;31,6;Mokotow;1;9;1980;225000;7120;dobry
2008;4;32;Zoliborz;1;1;1937;360000;11250;dobry
2008;4;32,5;Mokotow;1;3;1950;240000;7385;dobry
2008;4;33;Ochota;1;4;2003;340000;10303;dobry
2008;9;40;Srodmiescie;1;11;2001;477600;11940;bardzo dobry
2008;4;37;Mokotow;2;3;1969;295000;7973;dobry
2008;4;38;Wola;2;9;1980;298000;7842;dobry
2008;4;38;Praga Poludnie;2;1;1970;299000;7868;dobry
2008;4;38;Mokotow;2;2;1972;280000;7368;dobry
2008;10;85;Wesola;4;2;1998;540000;6352;bardzo dobry
2008;4;46;Targowek;2;7;1979;310000;6739;dobry
2008;4;47;Bielany;2;7;1978;380000;8085;dobry
2008;4;49;Praga Poludnie;3;6;1972;342000;6980;do remontu
2008;4;50;Srodmiescie;2;3;1960;405000;8100;dobry
2008;4;52;Ursynow;2;4;1997;400000;7692;do wykonczenia
2008;4;52;Praga Poludnie;2;9;1986;409000;7865;dobry
2008;4;53;Ursynow;3;1;1981;407000;7679;dobry
2008;4;58;Bialoleka;2;2;1998;400000;6897;bardzo dobry
2008;4;60;Mokotow;2;4;1950;490000;8167;dobry
2008;4;61;Wilanow;2;3;1978;380000;6230;bardzo dobry
2008;4;63;Mokotow;2;4;1937;715000;11349;do remontu
2008;4;68;Wawer;3;1;1999;480000;7059;bardzo dobry
2008;4;72;Ochota;3;2;2000;555000;7708;dobry
2008;4;81;Srodmiescie;3;2;1938;811000;10012;do remontu
2008;4;82;Mokotow;2;1;1935;1100000;13415;do wykonczenia
2007;7;97;Srodmiescie;3;10;2000;1340000;13744;bardzo dobry
2008;7;26;Srodmiescie;1;3;1970;238000;9153;bardzo dobry
2009;1;46;Wola;2;2;1960;327500;7119;do remontu
2008;4;89;Mokotow;3;6;2005;1150000;12921;bardzo dobry
2008;4;107;Mokotow;4;3;2002;820000;7664;bardzo dobry
2008;4;130;Ochota;4;1;1999;1410000;10846;bardzo dobry
2008;5;20;Praga Polnoc;1;2;1960;167000;8350;do remontu
2008;5;28;Praga Poludnie;1;8;1970;240000;8421;dobry
2008;5;31;Praga Poludnie;1;8;1986;226000;7142;dobry
2009;5;27;Srodmiescie;2;5;1967;224000;8296;do remontu
2008;5;35;Srodmiescie;2;5;1967;310000;8734;dobry
2008;5;35;Mokotow;1;9;1980;303000;8607;dobry
2008;5;35;Ursus;2;2;1966;220000;6285;do remontu
2008;5;36;Srodmiescie;2;1;1970;376000;10444;do remontu
2008;5;37;Wola;2;4;1970;275000;7432;dobry
2008;5;37;Mokotow;2;5;1970;280000;7567;do remontu
2008;5;38;Mokotow;2;4;1970;286000;7428;dobry
2008;5;38;Bielany;2;8;1963;284000;7473;do remontu
2008;5;38;Mokotow;2;8;1978;266000;7000;do remontu
2008;5;39;Srodmiescie;2;12;1975;375000;9615;dobry
2009;7;49;Srodmiescie;3;7;1979;380000;7755;dobry
2007;6;127;Srodmiescie;4;9;2000;1085000;8490;bardzo dobry
2008;5;42;Ursynow;2;1;1982;358000;8523;dobry
2008;5;43;Bialoleka;2;7;2002;305000;6947;dobry
2008;5;44;Bialoleka;2;1;2003;349000;7931;bardzo dobry
2008;5;45;Wola;2;3;1953;385000;8555;dobry
2008;5;45;Zoliborz;2;1;1939;629000;13977;bardzo dobry
2008;5;46;Ochota;3;3;1964;400000;8658;bardzo dobry
2008;5;46;Bielany;3;3;1950;340000;7391;do remontu
2008;5;46;Mokotow;2;1;1980;329000;7152;dobry
2008;5;47;Bialoleka;2;1;1999;342000;7276;bardzo dobry
2008;5;47;Rembertow;2;1;2007;300000;6382;do wykonczenia
2008;5;48;Praga Poludnie;3;10;1971;321000;6618;do wykonczenia
2008;5;48;Wola;3;14;1972;390000;8125;do remontu
2008;5;50;Mokotow;2;2;1955;452000;9040;bardzo dobry
2008;5;53;Mokotow;3;6;1955;515000;9716;dobry
2008;5;53;Wola;3;2;1960;390000;7358;dobry
2008;5;53;Mokotow;2;1;1936;576000;10867;dobry
2008;5;53;Mokotow;2;3;2004;740000;13962;bardzo dobry
2008;5;54;Bielany;3;11;1978;330000;6111;bardzo dobry
2008;5;55;Mokotow;2;4;1930;520000;9454;do remontu
2008;5;56;Ursynow;3;15;1981;387000;6825;dobry
2008;5;56;Ochota;2;4;1966;513000;9160;dobry
2008;5;57;Ursynow;2;6;1985;463000;8122;bardzo dobry
2008;5;57;Mokotow;2;1;2007;545000;9561;do wykonczenia
2008;5;58;Mokotow;2;2;2007;620000;10689;do wykonczenia
2008;5;60;Praga Poludnie;3;10;2006;460000;7666;do wykonczenia
2008;5;62;Targowek;2;10;2001;490000;7903;bardzo dobry
2008;5;64;Praga Polnoc;4;4;1961;450000;7031;dobry
2008;5;73;Mokotow;3;2;2007;695000;9520;do wykonczenia
2008;5;75;Bemowo;3;3;2001;600000;8000;bardzo dobry
2007;11;27;Srodmiescie;1;9;1968;280000;10370;bardzo dobry
2008;9;33,8;Mokotow;2;4;1962;330000;9763;dobry
2008;5;105;Bemowo;4;1;2003;1015000;9666;bardzo dobry
2008;5;105;Bialoleka;3;3;2003;620000;5904;dobry
2008;5;122;Ochota;4;5;2000;1450000;11885;bardzo dobry
2008;5;137;Mokotow;6;2;1995;1200000;8759;dobry
2009;8;25;Mokotow;1;1;1960;200000;7782;do remontu
2008;6;17,35;Wola;1;16;1971;179000;10317;dobry
2008;6;24;Wola;1;9;1964;223000;9291;dobry
2008;6;26;Mokotow;1;1;1938;245000;9423;bardzo dobry
2008;6;27;Zoliborz;1;2;1975;212000;7851;do remontu
2008;6;28;Wlochy;2;1;1938;237000;8464;do wykonczenia
2008;6;30,9;Bialoleka;2;2;2002;259000;8381;bardzo dobry
2008;6;31;Targowek;1;2;2007;313000;10096;dobry
2008;6;31;Ursynow;1;1;1979;240000;7741;do remontu
2008;6;32;Tarchomin;1;1;2000;258000;8062;do wykonczenia
2008;6;33,08;Bielany;1;8;2000;303000;9159;dobry
2008;6;34;Ursynow;1;4;2002;327000;9617;dobry
2008;6;34;Ochota;1;2;1960;260000;7647;do remontu
2008;6;34;Mokotow;2;4;1965;270000;7941;dobry
2008;6;34;Mokotow;1;1;1952;304000;8941;do remontu
2008;6;36;Srodmiescie;1;3;1951;310000;8611;do remontu
2008;6;37;Mokotow;2;3;1965;290000;7837;do remontu
2008;6;38;Praga Poludnie;1;3;1950;222000;5842;dobry
2008;6;40;Ursynow;2;3;1991;365000;9125;bardzo dobry
2008;6;42;Mokotow;2;1;1974;320000;7619;dobry
2008;6;42;Srodmiescie;2;6;2007;500000;11904;do wykonczenia
2008;6;42,5;Mokotow;2;2;1949;440000;10352;bardzo dobry
2008;6;43;Srodmiescie;2;1;1949;420000;9767;dobry
2008;6;43,57;Bialoleka;2;5;2005;340000;7803;bardzo dobry
2008;7;34;Mokotow;2;4;1965;270000;7941;dobry
2008;6;46,2;Bialoleka;2;1;2002;340000;7359;bardzo dobry
2008;6;47,15;Praga Poludnie;2;1;1958;282900;6000;do remontu
2008;6;49;Wola;2;2;1950;380000;7755;bardzo dobry
2008;6;49;Bielany;2;1;1939;419000;8551;dobry
2008;6;50;Mokotow;3;3;1980;350000;7000;dobry
2008;6;53,3;Srodmiescie;2;2;1938;570000;10694;bardzo dobry
2008;6;55;Wilanow;2;1;2008;472000;8581;bardzo dobry
2008;6;55;Bielany;3;4;1970;368000;6690;bardzo dobry
2008;6;56;Mokotow;2;4;2007;530000;9464;do wykonczenia
2008;6;57;Zoliborz;2;3;1923;522000;9157;dobry
2008;6;57;Zoliborz;3;9;1975;400000;7017;do remontu
2008;6;57;Mokotow;2;2;1959;492000;8631;do remontu
2008;6;58;Mokotow;2;1;2007;620000;10689;do wykonczenia
2008;6;64;Praga Polnoc;3;4;1993;405000;6328;dobry
2008;6;64;Wola;3;2;1931;590000;9218;bardzo dobry
2008;6;66;Mokotow;3;1;1976;490000;7424;dobry
2008;6;68;Srodmiescie;2;2;2004;855000;12573;bardzo dobry
2008;6;70;Grochow;3;3;1993;525000;7500;dobry
2008;6;73,4;Bielany;3;8;2001;670000;9128;dobry
2008;6;91;Mokotow;3;5;2001;1190000;13076;bardzo dobry
2008;6;101;Ursynow;4;3;2001;1100000;10891;bardzo dobry
2008;6;110;Mokotow;4;4;1994;810000;7363;dobry
2008;6;110;Wola;4;4;1990;962000;8745;bardzo dobry
2008;6;116,1;Zoliborz;4;2;2003;1900000;16365;bardzo dobry
2008;6;117;Ursynow;4;1;2002;1300000;11111;bardzo dobry
2008;6;135;Wilanow;5;1;2005;2050000;15185;bardzo dobry
2008;6;135;Mokotow;3;1;1930;2100000;15555;dobry
2008;6;144;Ochota;5;1;2001;1650000;11458;dobry
2008;6;190;Mokotow;5;3;2007;2500000;13157;do wykonczenia
2009;4;41;Bielany;2;2;1972;280000;6829;dobry
2008;7;27;Bialoleka;1;2;2008;166600;6170;do wykonczenia
2008;7;27;Wola;1;4;1968;205000;7592;do remontu
2008;7;28;Mokotow;1;4;1962;225000;8035;do remontu
2008;7;29;Praga Poludnie;1;5;1958;215000;7413;dobry
2008;7;30;Wola;1;2;1954;270000;9000;dobry
2009;8;48;Bielany;3;3;1980;350000;7292;dobry
2009;3;64;Bielany;3;4;1992;475000;7421;dobry
2008;7;34;Ochota;1;3;1960;260000;7647;do remontu
2008;7;35;Bialoleka;2;3;2004;299000;8542;bardzo dobry
2008;7;36;Srodmiescie;1;1;1967;308000;8555;dobry
2008;7;37;Mokotow;2;3;1965;290000;7837;do remontu
2008;7;38;Wola;2;3;1969;310000;8157;do wykonczenia
2007;7;50;Bemowo;2;5;2006;640000;12800;bardzo dobry
2008;7;38;Bielany;2;3;2000;325000;8552;dobry
2008;7;40;Srodmiescie;2;3;1991;365000;9125;bardzo dobry
2008;7;41;Ursynow;1;1;2000;430000;10487;dobry
2008;7;41;Ursynow;2;4;2002;434000;10585;bardzo dobry
2008;7;42;Mokotow;2;2;1958;380000;9047;do remontu
2008;7;42;Srodmiescie;2;1;1950;815000;19404;bardzo dobry
2008;7;45;Mokotow;2;6;1977;330000;7333;do remontu
2008;7;47;Ursynow;2;1;2002;500000;10638;dobry
2008;7;48;Karczew;2;1;1994;230000;4791;dobry
2008;7;51;Mokotow;2;15;2007;472000;9254;do wykonczenia
2008;7;51;Mokotow;2;15;2007;472000;9254;do wykonczenia
2008;7;55;Wola;3;1;1963;555000;10090;bardzo dobry
2008;7;55;Srodmiescie;3;2;1960;531000;9654;dobry
2008;7;56;Mokotow;2;4;2007;530000;9464;do wykonczenia
2008;7;56;Mokotow;3;1;1980;460000;8214;dobry
2008;7;57;Zoliborz;3;9;1975;400000;7017;do remontu
2008;7;59;Praga Poludnie;3;2;1956;414000;7016;bardzo dobry
2008;7;60;Praga Poludnie;2;1;1946;670000;11166;do remontu
2008;7;64;Mokotow;2;4;1950;520000;8125;bardzo dobry
2008;7;74;Ursynow;3;3;2003;720000;9729;dobry
2008;7;78;Ursynow;3;1;2001;617000;7910;bardzo dobry
2008;7;78;Ursynow;3;2;2000;719000;9217;dobry
