RecordNo;Wartość.tegoroczna;Wartość.przyszłoroczna;kraj;uprawa
1001;6,751150585;6,751150585;Polska;Rzepak
1003;5,686681954;5,686681954;Polska;Rzepak
1011;2,898698526;0;Polska;Rzepak
1021;4,772240431;5,909980136;Polska;Rzepak
1027;9,323714744;9,096166803;Polska;Rzepak
1030;8,686821759;5,791261107;Polska;Rzepak
1036;6,591210941;6,136115059;Polska;Rzepak
1046;7,233340977;8,681121303;Polska;Rzepak
1052;4,826629995;5,791816878;Polska;Rzepak
1060;4,198901628;4,198901628;Polska;Rzepak
1065;7,231868837;7,714462279;Polska;Rzepak
1069;5,465385233;1,597070235;Polska;Rzepak
1073;9,41889029;9,41889029;Polska;Rzepak
1076;8,683965735;8,683965735;Polska;Rzepak
1078;5,796438231;5,796438231;Polska;Rzepak
1085;5,008698526;5,008698526;Polska;Rzepak
1090;7,966681954;7,966681954;Polska;Rzepak
1094;7,908486572;7,756473651;Polska;Rzepak
1102;10,1779032;10,63394197;Polska;Rzepak
1111;2,315560651;2,170782618;Polska;Rzepak
1121;10,90747535;9,314639762;Polska;Rzepak
1123;9,658698526;10,14129197;Polska;Rzepak
1127;4,821150585;4,821150585;Polska;Rzepak
1134;1,443340977;1,443340977;Polska;Rzepak
1137;4,341534113;4,341534113;Polska;Rzepak
1143;8,19889029;7,288698526;Polska;Rzepak
1144;2,413340977;2,413340977;Polska;Rzepak
1154;5,466448521;5,466448521;Polska;Rzepak
1158;8,688506762;8,688506762;Polska;Rzepak
1160;8,686308186;9,168901627;Polska;Rzepak
1167;8,646681954;8,646681954;Polska;Rzepak
1175;3,136438231;0;Polska;Rzepak
1181;7,739824581;6,829632817;Polska;Rzepak
1185;5,796908538;5,796908538;Polska;Rzepak
1187;5,001868837;5,68451266;Polska;Rzepak
1190;5,462723589;5,917819471;Polska;Rzepak
1194;5,549824581;6,032418023;Polska;Rzepak
1199;2,656720529;2,656720529;Polska;Rzepak
1207;7,727739705;6,279959379;Polska;Rzepak
1209;4,771121302;4,771121302;Polska;Rzepak
1213;5,238901628;5,466449569;Polska;Rzepak
1214;9,122230117;9,122230117;Polska;Rzepak
1215;8,688506762;6,275539552;Polska;Rzepak
1221;9,121725877;9,121725877;Polska;Rzepak
1228;1,206483605;0,965186884;Polska;Rzepak
1233;9,168116291;9,168116291;Polska;Rzepak
1240;5,461868837;0;Polska;Rzepak
1241;6,371917641;5,689273818;Polska;Rzepak
1244;6,826054703;6,826054703;Polska;Rzepak
1251;7,286308186;7,286308186;Polska;Rzepak
1254;7,288901628;7,288901628;Polska;Rzepak
1257;5,461917641;4,551725877;Polska;Rzepak
1262;11,30775274;11,30775274;Polska;Rzepak
1270;6,373602644;6,373602644;Polska;Rzepak
1275;9,101868837;7,053937368;Polska;Rzepak
1280;9,165560651;9,165560651;Polska;Rzepak
1288;1,444637698;1,444637698;Polska;Rzepak
1289;6,275934419;6,275934419;Polska;Rzepak
1297;8,204561464;9,652341789;Polska;Rzepak
1300;6,276681954;8,207055722;Polska;Rzepak
1309;11,36821759;11,36821759;Polska;Rzepak
1318;8,363714744;8,363714744;Polska;Rzepak
1326;9,789465582;9,789465582;Polska;Rzepak
1330;3,375934419;2,893340977;Polska;Rzepak
1338;5,231868837;5,459416778;Polska;Rzepak
1344;10,98527861;13,7158539;Polska;Rzepak
1346;6,829275395;6,829275395;Polska;Rzepak
1352;4,822791791;4,822791791;Polska;Rzepak
1356;3,868154093;4,833340977;Polska;Rzepak
1366;9,781342349;9,781342349;Polska;Rzepak
1371;7,733602644;6,595862939;Polska;Rzepak
1378;6,27149507;6,27149507;Polska;Rzepak
1380;7,280775274;7,280775274;Polska;Rzepak
1390;6,360710668;5,687168763;Polska;Rzepak
1399;9,658253268;0;Polska;Rzepak
1408;8,647568378;7,737376614;Polska;Rzepak
1416;6,758154093;7,482044256;Polska;Rzepak
1424;7,966483605;9,655560651;Polska;Rzepak
1430;5,795934419;5,795934419;Polska;Rzepak
1431;5,542536093;5,783832814;Polska;Rzepak
1437;9,887739705;9,887739705;Polska;Rzepak
1444;6,253714744;6,822584597;Polska;Rzepak
1450;6,751917641;6,751917641;Polska;Rzepak
1454;6,276054703;6,276054703;Polska;Rzepak
1458;5,461342349;5,006246467;Polska;Rzepak
1465;8,688527861;8,688527861;Polska;Rzepak
1471;4,822230117;4,822230117;Polska;Rzepak
1474;5,910373767;6,365469649;Polska;Rzepak
1476;4,586438231;4,586438231;Polska;Rzepak
1485;7,116054703;5,788922737;Polska;Rzepak
1494;5,003340977;5,003340977;Polska;Rzepak
1500;9,123794408;9,123794408;Polska;Rzepak
1503;1,939275395;1,939275395;Polska;Rzepak
1509;7,738901628;6,828709864;Polska;Rzepak
1517;7,233340977;6,268154093;Polska;Rzepak
1522;10,91150585;11,13905379;Polska;Rzepak
1531;5,911342349;5,683794408;Polska;Rzepak
1538;8,511917641;8,511917641;Polska;Rzepak
1547;6,851917641;6,851917641;Polska;Rzepak
1555;6,751121302;6,751121302;Polska;Rzepak
1557;10,46681954;10,2392716;Polska;Rzepak
1559;8,661342349;8,661342349;Polska;Rzepak
1563;9,651917641;9,651917641;Polska;Rzepak
1569;9,658518875;10,14111232;Polska;Rzepak
1577;12,71150585;12,71150585;Polska;Rzepak
1580;9,108698526;9,108698526;Polska;Rzepak
1582;2,416629995;2,416629995;Polska;Rzepak
1585;5,306821759;5,306821759;Polska;Rzepak
1594;8,19889029;8,19889029;Polska;Rzepak
1597;6,596054703;6,596054703;Polska;Rzepak
1603;6,59083988;6,59083988;Polska;Rzepak
1612;22,88154093;22,88154093;Polska;Rzepak
1621;9,104088512;9,104088512;Polska;Rzepak
1629;6,822230117;6,822230117;Polska;Rzepak
1632;5,003794408;5,45889029;Polska;Rzepak
1641;7,231868837;7,231868837;Polska;Rzepak
1642;5,301917641;5,301917641;Polska;Rzepak
1645;7,736308186;7,736308186;Polska;Rzepak
1649;6,377639991;5,694996168;Polska;Rzepak
1652;9,106438231;9,106438231;Polska;Rzepak
1660;5,306681954;6,271868837;Polska;Rzepak
1663;3,371868837;3,371868837;Polska;Rzepak
1670;9,126681954;9,88674656;Polska;Rzepak
1673;6,141868837;6,141868837;Polska;Rzepak
1679;5,796054703;6,761241587;Polska;Rzepak
1684;2,894736511;2,170846348;Polska;Rzepak
1688;7,968154093;7,740606152;Polska;Rzepak
1698;9,656681954;9,656681954;Polska;Rzepak
1699;9,65426393;9,65426393;Polska;Rzepak
1708;2,655934419;2,655934419;Polska;Rzepak
1711;9,108506762;9,108506762;Polska;Rzepak
1720;5,301670488;6,266857371;Polska;Rzepak
1723;13,99082054;13,99082054;Polska;Rzepak
1728;4,342967209;3,377780325;Polska;Rzepak
1731;2,177739705;2,660333147;Polska;Rzepak
1734;0,962967209;0,962967209;Polska;Rzepak
1744;4,821917641;3,856730757;Polska;Rzepak
1747;3,374671904;3,374671904;Polska;Rzepak
1749;7,73610337;7,73610337;Polska;Rzepak
1757;5,008154093;5,008154093;Polska;Rzepak
1759;7,05149507;7,05149507;Polska;Rzepak
1768;7,966308186;7,966308186;Polska;Rzepak
1771;7,286308186;7,286308186;Polska;Rzepak
1774;4,348901628;4,348901628;Polska;Rzepak
1779;7,231150585;7,472447306;Polska;Rzepak
1787;9,658527861;9,658527861;Polska;Rzepak
1790;8,641150585;7,275862939;Polska;Rzepak
1793;4,910193819;4,910193819;Polska;Rzepak
1803;9,658901628;9,658901628;Polska;Rzepak
1810;9,783986172;10,23908206;Polska;Rzepak
1816;8,681534113;8,681534113;Polska;Rzepak
1818;5,231150585;5,231150585;Polska;Rzepak
1825;4,340775274;4,340775274;Polska;Rzepak
1834;8,668506762;6,844351707;Polska;Rzepak
1839;5,881868837;5,302756707;Polska;Rzepak
1840;9,651121302;10,13371475;Polska;Rzepak
1849;5,008527861;5,008527861;Polska;Rzepak
1854;9,101868837;8,646772955;Polska;Rzepak
1857;3,371150585;3,371150585;Polska;Rzepak
1860;6,148562944;6,148562944;Polska;Rzepak
1869;9,651670488;7,238703279;Polska;Rzepak
1875;7,230373767;7,230373767;Polska;Rzepak
1885;7,501121302;7,501121302;Polska;Rzepak
1895;3,86426393;3,86426393;Polska;Rzepak
1902;3,671868837;4,342673721;Polska;Rzepak
1911;9,101868837;9,101868837;Polska;Rzepak
1913;6,827780326;4,552300916;Polska;Rzepak
1922;8,680775274;9,645962157;Polska;Rzepak
1925;5,465035526;5,009939644;Polska;Rzepak
1926;1,936054703;1,936054703;Polska;Rzepak
1930;5,681725877;5,681725877;Polska;Rzepak
1937;7,728518875;6,763331991;Polska;Rzepak
1939;5,466246467;6,831534113;Polska;Rzepak
1945;6,826629995;6,826629995;Polska;Rzepak
1946;9,103602644;11,37908205;Polska;Rzepak
1951;11,31121302;11,31121302;Polska;Rzepak
1961;10,20747535;10,20747535;Polska;Rzepak
1964;9,120572116;9,120572116;Polska;Rzepak
1972;5,793794408;6,758981292;Polska;Rzepak
1979;4,931868837;4,089941455;Polska;Rzepak
1980;3,376629995;3,376629995;Polska;Rzepak
1989;9,651725877;10,61691276;Polska;Rzepak
1996;13,96438231;13,96438231;Polska;Rzepak
2001;10,05934419;9,376700362;Polska;Rzepak
2006;2,176438231;2,176438231;Polska;Rzepak
2011;1,207780326;0,966483605;Polska;Rzepak
2017;4,344561464;4,827154906;Polska;Rzepak
2027;5,684177936;5,684177936;Polska;Rzepak
2029;13,64177936;13,64177936;Polska;Rzepak
2035;6,826629995;6,143986172;Polska;Rzepak
2037;6,755934419;6,755934419;Polska;Rzepak
2045;4,774177936;6,139465582;Polska;Rzepak
2053;6,756681954;6,515385233;Polska;Rzepak
2059;9,655186884;9,655186884;Polska;Rzepak
2063;8,441534113;8,682830834;Polska;Rzepak
2065;8,681534113;6,268566903;Polska;Rzepak
2074;4,773714744;0;Polska;Rzepak
2081;12,10775274;12,10775274;Polska;Rzepak
2082;9,104736511;11,38021592;Polska;Rzepak
2089;9,656857372;9,656857372;Polska;Rzepak
2095;6,146246467;4,55341088;Polska;Rzepak
2104;5,684561464;6,822301169;Polska;Rzepak
2113;8,191917641;8,419465582;Polska;Rzepak
2121;6,376308186;7,058952009;Polska;Rzepak
2123;4,822826875;4,822826875;Polska;Rzepak
